comune,codice,gestore,km2,km2_comune,quota_comune,progetti,mw_richiesti,mw_per_km2,area_km2,Solare,Accumuli,Bioenergie,Idroelettrico
Aiello Del Friuli,AC001E01001,e-distribuzione,13.480241250985213,13.622030508807,0.99,18.0,447.55024,3.2644072939460247,137.1,136.55724,310.93,0.0,0.063
Amaro,AC001E01019,e-distribuzione,33.457974697722086,33.497948225271166,0.999,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Ampezzo,AC001E01600,e-distribuzione,73.1963926077186,73.19639260771858,1.0,0.0,0.0,0.0,455.4,0.0,0.0,0.0,0.0
Andreis,AC001E01599,e-distribuzione,26.46803600512015,26.468036005120155,1.0,2.0,0.46238,0.0014422333125389,320.6,0.0,0.0,0.0,0.46238
Aquileia,AC001E00849,e-distribuzione,30.02569094380577,36.466242329114074,0.823,8.0,42.26344,0.3487082508250825,121.2,42.26344,0.0,0.0,0.0
Aquileia,AC001E00998,e-distribuzione,4.840746683602009,36.466242329114074,0.133,11.0,60.05733,0.5628615745079663,106.7,58.50833,0.0,1.549,0.0
Arba,AC001E01592,e-distribuzione,12.272930112635839,14.497040231609866,0.847,5.0,82.5958,0.4025136452241715,205.2,80.2958,0.0,2.3,0.0
Arta Terme,AC001E01019,e-distribuzione,42.06781961046256,42.634586329780205,0.987,5.0,5.84707,0.0117387472395101,498.1,0.0,0.0,0.0,5.84707
Artegna,AC001E01015,e-distribuzione,10.896435258614883,10.896435258614883,1.0,1.0,111.9,0.6401601830663616,174.8,0.0,111.9,0.0,0.0
Attimis,AC001E01014,e-distribuzione,33.046053544371205,33.05780329354521,1.0,4.0,8.7516,0.0326187103988073,268.3,8.5336,0.0,0.0,0.218
Aviano,AC001E01593,e-distribuzione,63.282712071683136,112.98558839857527,0.56,0.0,0.0,0.0,113.2,0.0,0.0,0.0,0.0
Aviano,AC001E01589,e-distribuzione,27.840813435768492,112.98558839857527,0.246,2.0,0.62849,0.004460539389638,140.9,0.0,0.0,0.5,0.12849
