cabina,provincia,comune_riferimento,lon,lat,sezioni,oltre_5
Ampezzo,Udine,Ampezzo,12.750497826086958,46.40850869565217,1,1
Barcis,Pordenone,Barcis,12.520645454545456,46.19276363636364,1,0
Buia,Udine,Buja,13.117568,46.211715999999996,2,1
Ca' Poia,Udine,Rigolato,12.853745,46.555085000000005,2,1
Chiusaforte,Udine,Chiusaforte,13.342332608695653,46.41118043478261,1,1
Cividale,Udine,Cividale Del Friuli,13.442364444444443,46.084335555555555,2,2
Codroipo,Udine,Codroipo,12.984385416666667,45.95518958333333,2,2
Cormons,Gorizia,Cormons,13.465794117647059,45.959929411764705,1,0
Fagagna,Udine,Fagagna,13.085675675675676,46.10901621621622,2,0
Giais,Pordenone,Aviano,12.593623076923077,46.0841,3,3
Gorizia,Gorizia,Gorizia,13.589286111111111,45.949980555555555,2,2
Latisana,Udine,Latisana,13.033432,45.733056,2,2
Maniago,Pordenone,Maniago,12.71858,46.1527925,2,2
Manzano,Udine,Manzano,13.382311428571429,45.99785142857143,2,2
Ovaro,Udine,Ovaro,12.855225531914893,46.49027872340425,2,2
Palmanova,Udine,Palmanova,13.329936363636364,45.90932727272727,2,2
Planais,Udine,Villa Santina,12.93644,46.40775,2,2
Ponterosso,Pordenone,San Vito Al Tagliamento,12.855095,45.9053325,2,2
Porcia,Pordenone,Porcia,12.606551351351351,45.94828648648649,2,0
Pordenone,Pordenone,Pordenone,12.652686274509804,45.94084705882353,2,0
Prata,Pordenone,Prata Di Pordenone,12.578690384615385,45.86767692307693,2,2
Reana,Udine,Reana Del Rojale,13.239571428571429,46.148109523809524,2,1
Redipuglia,Gorizia,Fogliano Redipuglia,13.485346153846153,45.857876923076915,2,1
S.Daniele,Udine,San Daniele Del Friuli,13.008057575757576,46.1594696969697,1,0
S.Giovanni,Udine,San Giovanni Al Natisone,13.413622222222223,45.966196296296296,2,2
S.Quirino,Pordenone,San Quirino,12.676683870967741,46.03036129032258,1,0
Sacile,Pordenone,Sacile,12.507763157894738,45.95131842105263,2,1
Schiavetti,Gorizia,Monfalcone,13.54203695652174,45.79276956521739,1,0
Sesto Reghena,Pordenone,Sesto Al Reghena,12.850243749999999,45.86207708333333,1,0
Spilimbergo,Pordenone,Spilimbergo,12.878168,46.110036,2,2
Stradalta,Udine,Basiliano,13.093210526315788,46.016313157894736,2,2
Tarvisio,Udine,Tarvisio,13.580575000000001,46.47227,2,2
Tavagnacco,Udine,Tavagnacco,13.212934782608695,46.11499565217391,1,0
Tolmezzo,Udine,Tolmezzo,13.034691666666667,46.42813888888889,1,1
Travesio,Pordenone,Travesio,12.844378787878789,46.205860606060604,1,0
Udine Nord Est,Udine,Udine,13.240835897435899,46.0590641025641,2,2
Udine Sud,Udine,Udine,13.240835897435899,46.0590641025641,1,0
Zaule,Trieste,Trieste,13.775592537313432,45.65343731343283,1,1
Zoppola,Pordenone,Zoppola,12.76591111111111,45.96519166666667,2,1
