Quota,temp_2,vento_10,vento_50,vento_75,vento_100,vento_125,vento_150,dens_50,dens_75,dens_100,dens_125,dens_150,prod_50,prod_75,prod_100,prod_125,prod_150,weib_50,weib_75,weib_100,weib_125,weib_150,onshore,Dist_cp,lat,long,id_cella,Shape_Area,dist_AT_km,dist_AAT_km,dist_linea_km
116.0,14.1932542801,2.63160858188,5.30836714702,5.9572599801,6.34464427612,6.46407570526,6.51287425461,268.049287074,427.264998326,581.595859375,680.292567243,744.916549207,2293.31427874,2481.32143694,3018.54652842,0.0,0.0,1.31121003628,1.23352003098,1.18078994751,0.0,0.0,1.0,4.123,45.581,13.811,695792,2023178.94599,2.856874850756351,9.284095331468556,0.5675972857321429
0.0,15.3998039245,3.34284568281,5.02081571998,5.39657000242,5.68218288722,5.82396287955,5.89282855421,214.781143607,303.83828547,399.009998884,473.508283552,523.933793975,0.0,0.0,2143.02284459,2248.85857,2220.18715,0.0,0.0,1.22817003727,1.18702995777,1.16626000404,0.0,5.736,45.598,13.721,696636,2023178.94599,7.716502577585164,11.199923947404466,0.4831077904718084
172.0,14.8359025002,2.97926855947,4.96041002762,5.41759858946,5.77107002738,5.9512500213,6.03675288964,206.214713675,305.683857631,416.058001325,503.08600014,561.003184062,2081.54858398,2224.96857003,2746.56979811,0.0,0.0,1.41428005695,1.32571995258,1.25534999371,0.0,0.0,1.0,4.532,45.597,13.739,696637,2023179.08822,6.599801243699829,10.262881405297339,0.43138501147211145
61.0,14.5899527549,2.71255428162,4.88059426511,5.41215713239,5.83298285047,6.06035857592,6.16639571564,198.014142787,303.114283726,425.624429618,525.487570592,591.859747718,1997.77713449,2212.07713449,2796.68510423,0.0,0.0,1.41428005695,1.32239997387,1.2486000061,0.0,0.0,1.0,3.498,45.596,13.757,696638,2023179.08822,5.376948194737344,9.438436806043454,0.35772297969247907
80.0,14.4941466332,2.41487856307,4.74818573711,5.38442573451,5.87514569491,6.14300145486,6.26687428689,191.043429042,305.666426932,441.726573556,553.384857422,631.663779785,1878.13999721,2179.56287109,2798.81550981,0.0,0.0,1.36483001709,1.28314995766,1.2181199789,0.0,0.0,1.0,2.762,45.595,13.775,696639,2023178.94599,4.131517142025637,8.758445080894818,0.13207496703824728
15.0,14.5014932632,2.39342429502,4.79682426485,5.5025399901,6.02273858834,6.28508715354,6.39958569216,208.398713763,340.562857701,492.201146833,609.779853725,690.623679947,1913.2542899,2238.45142718,2912.98918308,0.0,0.0,1.31330001354,1.24187004566,1.18631005287,0.0,0.0,1.0,2.417,45.595,13.793,696640,2023179.08823,2.8349407437186858,8.155097449077108,0.5205165145357119
87.0,14.3665493012,2.54522287358,5.15155285788,5.88561287746,6.38365288042,6.59061429077,6.66757714787,259.892427699,421.553429513,593.704572266,712.189288225,787.583415547,2176.08858817,2449.84429548,3054.65081812,0.0,0.0,1.2933100462,1.22130000591,1.16943001747,0.0,0.0,1.0,2.749,45.594,13.812,696641,2023179.08822,1.6587220757807013,7.84884324324525,0.23053826094128815
120.0,14.1902540207,2.82119855842,5.74414425777,6.45941000033,6.89008713531,7.01597570472,7.04576429622,345.538001953,539.89285791,724.577859026,835.175718331,899.774532038,2629.68715123,2779.68715123,3385.07041036,0.0,0.0,1.31121003628,1.23352003098,1.18078994751,0.0,0.0,1.0,2.906,45.593,13.83,696642,2023178.94599,1.1974351558503378,7.811926609153945,0.3913387689390889
90.0,13.7886059761,3.25250858566,6.36458570095,7.02839711458,7.38709140281,7.45269710898,7.44639717414,441.414284738,654.143146275,837.959717704,940.050428641,996.663793845,3122.84284319,3154.06857003,3647.29020588,0.0,0.0,1.36179995537,1.27795994282,1.22011995316,0.0,0.0,1.0,2.524,45.592,13.848,696643,2023179.08822,1.9963114163784859,8.019786202106724,0.47991398089787757
0.0,14.3708017349,2.37393001698,5.02804715203,5.84906288681,6.4606900153,6.75227282336,6.85966283199,240.588286551,403.014284773,591.336572684,732.260858887,820.372672044,2042.09856306,2430.09428571,3168.89489656,0.0,0.0,1.31384003162,1.24050998688,1.18498003483,0.0,0.0,1.0,1.357,45.607,13.813,697490,2023178.94599,1.0316064238925946,6.419132498973378,0.7646826278978625
11.0,14.2689936638,2.8657043025,5.69832857612,6.47046714892,6.97845143513,7.15937857372,7.20549001365,333.925571359,532.537997559,735.91057373,865.272568778,940.416206155,2627.64571708,2860.05285156,3484.58694057,0.0,0.0,1.32114994526,1.2409299612,1.18226003647,0.0,0.0,1.0,1.652,45.606,13.831,697491,2023178.80375,0.25428980891367603,6.365470334563863,0.28814053699059
61.0,13.7680929184,3.10342856294,6.322437156,7.05462289065,7.47077426529,7.57638287408,7.58161859373,421.320000732,648.123145229,853.831570313,973.364142439,1039.00675024,3136.3371582,3228.44285575,3726.46387875,0.0,0.0,1.38049995899,1.28749001026,1.22042000294,0.0,0.0,1.0,1.112,45.605,13.849,697492,2023178.94599,1.213710693281996,6.610754829213483,0.49839928304147907
181.0,12.9759943962,3.19079000887,6.74750002871,7.45305998023,7.82699143188,7.90251284304,7.88940572551,475.328714914,709.016854841,909.283856655,1023.1057115,1083.44346939,3470.14142718,3487.62858817,3965.21244898,0.0,0.0,1.47048997879,1.36512005329,1.28989994526,0.0,0.0,1.0,1.638,45.604,13.867,697493,2023178.94599,1.6504447651527254,7.124174516014242,0.5723378347555188
0.0,15.6106036186,3.84876715121,5.05359713333,5.56607999193,6.0112928299,6.27993715363,6.41944285856,269.922715855,377.82514209,503.257283831,608.035283482,686.570078265,1958.40286691,2098.8071317,2757.52061105,0.0,0.0,1.23416996002,1.18001997471,1.14827001095,0.0,0.0,1.0,0.799,45.621,13.777,698337,2023178.94599,2.771727685244737,6.314124090795348,2.2179215321070855
36.0,15.4030950546,3.48391715452,5.23161145687,5.8465842671,6.33638001665,6.58879571211,6.70180572939,290.948285226,430.976714983,585.72114502,702.777289202,782.600450016,2139.30855887,2334.00284598,3032.51061105,0.0,0.0,1.27243995667,1.21209001541,1.17146003246,0.0,0.0,1.0,0.437,45.62,13.796,698338,2023179.08823,1.7899890627336694,5.542296611326344,1.7899890627336694
101.0,14.46674757,3.09938570832,5.5271814447,6.22575282586,6.73179854483,6.94045856781,7.0149885801,323.76185791,498.230859863,683.60299993,809.278288923,887.481364756,2428.60142299,2648.66429548,3309.00265226,0.0,0.0,1.28942000866,1.21880996227,1.17241001129,0.0,0.0,1.0,0.419,45.619,13.814,698339,2023179.08822,0.40343280955402244,5.106751226069296,0.40343280955402244
134.0,14.1714551926,3.10115856854,5.96473139688,6.69220858218,7.15508713072,7.30665284888,7.34352141793,383.54585512,591.871146554,795.294997907,921.4087101,993.322166633,2840.47000558,3004.13142997,3512.17612265,0.0,0.0,1.31826996803,1.24057996273,1.18629002571,0.0,0.0,1.0,1.03,45.619,13.832,698340,2023178.94599,0.49488846207656634,4.919678390171178,0.24925958926148722
285.0,13.6266506195,3.21884141646,6.45756428637,7.17988140782,7.57879286192,7.6778071652,7.68235430224,452.975571673,685.438146554,892.195428083,1013.25143241,1078.94878199,3229.01998465,3297.01143694,3802.82204141,0.0,0.0,1.37672996521,1.28790998459,1.22342002392,0.0,0.0,1.0,0.386,45.618,13.85,698341,2023179.08822,0.10258201818869579,5.222853218838244,0.15124343197694662
358.0,12.9614489555,3.42514141198,6.83434572588,7.51809139788,7.87088284365,7.94169854486,7.92953999316,503.147855504,738.141859654,935.886995954,1048.60428013,1108.11162229,3512.40286691,3490.06714983,3983.73203882,0.0,0.0,1.44637000561,1.34976994991,1.27927994728,0.0,0.0,1.0,1.263,45.617,13.868,698342,2023179.08822,1.1361104273034028,5.849963445976349,0.3389188668180837
